duration,distance,max_heart_rate,effort,pace,speed_m_s,cluster
3740,9.72,170.0,24.0,6.412894375857339,2.5989304812834226,0
4362,10.11,180.0,78.0,7.190900098911969,2.3177441540577717,1
3948,9.83,157.0,17.0,6.69379450661241,2.489868287740628,0
3878,9.77,163.0,18.0,6.615489593995225,2.519339865910263,0
4169,10.0,158.0,17.0,6.948333333333333,2.3986567522187574,1
3735,10.06,163.0,29.0,6.187872763419483,2.6934404283801876,0
3976,10.13,165.0,33.0,6.541625534715366,2.5477867203219318,0
3642,9.97,172.0,55.0,6.088264794383149,2.737506864360242,0
4134,10.36,221.0,21.0,6.650579150579151,2.506047411707789,3
3731,9.88,160.0,21.0,6.2938596491228065,2.64808362369338,0
4061,10.43,150.0,16.0,6.489293704058805,2.568332922925388,0
3848,10.39,166.0,22.0,6.172601860763555,2.70010395010395,0
4107,10.16,148.0,15.0,6.737204724409449,2.473825176527879,1
4015,10.0,164.0,17.0,6.691666666666667,2.4906600249066004,0
3867,9.84,178.0,22.0,6.54979674796748,2.5446082234290146,0
4026,10.17,151.0,15.0,6.5978367748279245,2.526080476900149,0
4063,10.44,157.0,16.0,6.486270753512133,2.569529904011814,0
4188,10.22,151.0,16.0,6.829745596868884,2.440305635148042,1
3931,9.72,153.0,13.0,6.74039780521262,2.4726532688883234,1
4412,10.45,159.0,16.0,7.036682615629984,2.368540344514959,1
4090,10.05,158.0,18.0,6.782752902155887,2.45721271393643,1
4074,10.48,170.0,18.0,6.479007633587787,2.572410407461954,0
4095,10.15,147.0,16.0,6.724137931034482,2.4786324786324787,1
4252,10.03,157.0,17.0,7.06547025589897,2.358889934148636,1
3895,9.76,144.0,60.0,6.651297814207651,2.5057766367137355,0
4125,10.52,253.0,24.0,6.5351711026615975,2.5503030303030303,3
4181,9.85,158.0,17.0,7.074450084602369,2.3558957187275773,1
3997,10.08,162.0,21.0,6.608796296296296,2.5218914185639227,0
4264,10.39,146.0,16.0,6.83991017003529,2.4366791744840524,1
4103,10.239999999999998,151.0,65.0,6.678059895833335,2.495734828174506,1
