rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
31,770895287,"Oct 12, 2016, 1:47:42 PM",Santa Barbara - Montecito,Run,Via RunGap,3944,9.97,156,20,FALSE,NA,64.5800018310547,NA,3944,3938,9971.5,4.5,NA,17.2325401306152,NA,1.60000002384186,19.2000007629395,12.1999998092651,-0.0040114326402545,NA,NA,79.5571365356445,100,156,141.08610534668,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.73333333333333,0.3042596348884381,2016
32,770895366,"Oct 11, 2016, 1:29:42 AM",Swimming,Swim,Via RunGap,1443,1125,NA,NA,FALSE,NA,64.5800018310547,NA,1443,1443,1125,5,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.05,NA,2016
33,770895427,"Oct 11, 2016, 3:45:01 PM",Santa Barbara - Montecito,Run,Via RunGap,4056,9.99,158,17,FALSE,NA,64.5800018310547,NA,4056,4028,9997.900390625,4.40000009536743,NA,17.2173919677734,NA,1.5,19.2000007629395,13.1999998092651,0,NA,NA,79.5511856079102,94,158,133.613418579102,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6,0.2514792899408284,2016
34,770895571,"Oct 10, 2016, 4:41:42 PM",Balboa Building - Montecito,Run,Via RunGap,4377,10.34,156,62,FALSE,NA,64.5800018310547,NA,4377,4083,10341.5,5.90000009536743,NA,12.3745346069336,NA,1.60000002384186,14.5,12,0.00193395547103137,NA,NA,78.9686279296875,91,156,129.898239135742,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.95,0.8498971898560658,2016
35,770895690,"Oct 9, 2016, 1:56:28 PM",Santa Barbara - Montecito,Run,Via RunGap,4263,10.5,154,17,FALSE,NA,64.5800018310547,NA,4263,4232,10500.099609375,4.30000019073486,NA,17.1246757507324,NA,1.60000002384186,19.2000007629395,11.1999998092651,0.0076189748942852,NA,NA,79.8775787353516,94,154,133.456329345703,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.05,0.23926812104152007,2016
36,770895785,"Oct 8, 2016, 3:18:00 PM",Santa Barbara - Montecito,Run,Via RunGap,4092,10.09,156,18,FALSE,NA,64.5800018310547,NA,4092,4067,10097.2998046875,4.19999980926514,NA,17.3100547790527,NA,1.39999997615814,19.2000007629395,11.1000003814697,0.00891327392309904,NA,NA,79.0048675537109,93,156,136.494613647461,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2,0.26392961876832843,2016
37,770895840,"Oct 6, 2016, 12:47:32 PM",Elia - Fisherville,Run,Via RunGap,3837,9.75,168,27,FALSE,NA,64.5800018310547,NA,3837,3758,9749.099609375,5.59999990463257,NA,61.6542053222656,NA,166.800003051758,197.899993896484,5.80000019073486,0.0071801501326263,NA,NA,79.623779296875,97,168,142.91911315918,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.95,0.4222048475371384,2016
38,770895882,"Oct 4, 2016, 10:25:32 PM",Swimming,Swim,Via RunGap,2240,1577,NA,NA,FALSE,NA,64.5800018310547,NA,2240,2240,1577,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.333333333333336,NA,2016
39,770895915,"Oct 5, 2016, 3:48:19 PM",Santa Barbara - Montecito,Run,Via RunGap,4011,10.11,167,69,FALSE,NA,64.5800018310547,NA,4011,4011,10112.7998046875,4.09999990463257,NA,17.4318180084229,NA,1.5,19.2000007629395,11.6000003814697,0.00494422903284431,NA,NA,78.7551879882813,94,167,141.529357910156,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.85,1.0321615557217652,2016
40,770896043,"Oct 4, 2016, 5:07:18 PM",Santa Barbara - Balboa Building,Run,Via RunGap,4305,10.47,165,22,FALSE,NA,64.5800018310547,NA,4305,4119,10472.5,4.5,NA,12.4729976654053,NA,1.20000004768372,14.5,11,-9.548818343319e-4,NA,NA,78.323486328125,90,165,139.642471313477,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.75,0.30662020905923343,2016
